2 100
22 14 16 
8 10 11 
13 9 5 
12 16 20 
11 15 22 
4 19 1 
16 7 21 
17 4 9 
11 11 4 
8 7 3 
6 17 4 
22 22 13 
11 7 16 
12 6 0 
19 19 22 
15 20 13 
13 10 15 
18 9 9 
13 21 21 
9 9 7 
20 16 19 
7 3 15 
10 21 13 
20 3 13 
6 0 0 
22 9 0 
10 14 21 
2 4 14 
1 3 2 
16 7 15 
22 9 15 
19 0 11 
13 2 3 
0 13 18 
21 8 19 
4 16 1 
19 2 16 
3 6 12 
3 15 5 
17 16 4 
22 8 19 
17 18 16 
16 4 6 
3 16 11 
17 3 12 
3 20 2 
5 6 14 
12 21 15 
16 4 0 
16 22 20 
9 2 0 
18 13 3 
14 16 3 
14 18 15 
19 10 0 
0 16 14 
8 6 7 
18 13 12 
12 21 11 
1 2 8 
12 14 20 
8 4 1 
0 16 19 
12 8 11 
6 4 18 
14 14 2 
18 21 8 
2 11 13 
2 18 12 
2 21 1 
12 1 2 
10 10 9 
19 19 22 
8 14 12 
12 13 7 
6 22 10 
11 11 12 
4 19 2 
11 12 12 
3 20 4 
12 20 4 
14 2 6 
1 6 18 
11 6 6 
13 5 19 
12 8 7 
9 8 19 
11 15 18 
13 13 2 
21 16 2 
10 5 12 
5 17 1 
22 0 18 
17 1 8 
3 12 9 
16 15 14 
13 12 1 
0 1 11 
10 6 18 
20 17 6 
